University Name,Sports Analytics or Sports Science,Mission Statement,Vision Statement,Website link ,Program type (dropdown),Additional program type (if necessary),Undergrad program,Graduate program,City,State,Private/Public,Undergrad Population,Grad Population,# of students in program,In-State Tuition,Out-of-State Tuition,Program Name,Year Established,Credit Hours Undergraduate  (or N/A),Credit Hours Graduate (or N/A),Credit hours in business,Credit hours in human physiology,Credit hours in kinesiology,Credit hours in sports management,Credit hours in computer science,Credit hours in data analytics,Degree of Experiental Learning (0-5),Technical vs Applied (0-5),"Technical Aspects: (Computer Science, Data Engineering, Algorithms, Machine Learning, Other, N/A)","Applied Aspects: (Marketing, Sports Management, Finance, Kinesiology, Human Physology, Other, N/A","Department/College housed in (ex: Business, Education, Economics, etc)","Sports analytics focus (business, tech, human phys, etc)",Problem They're solving,"External partners (Athletics, community)",Required internship or capstone (if applicable),Student clubs (if applicable)
Abilene Christian University,Analytics,"With practical experience and academic excellence, ACU’s online B.S. in Sport Leadership and Management equips you with essential skills in leadership, communication, governance and analytics grounded in business knowledge and Christ-centered values. With a wide range of courses and learning opportunities, this program is essential for any sports fan looking to make their love a career.",N/A,Abilene Christian University,Major,Online,Yes,No,Abilene,TX,Private,"5,101","2,100",N/A,"61,950"," 61,950 ",Bachelor of Science in Sports Leadership and Management ,2025,N/A,30,15,0,0,9,0,6,4,5,N/A,"Virtually no technical stuff- focused on management, leadership, and ethics, partnership with Texas Rangers",Sports Science,"Data-driven, decision making","real-world relevance, business communication ",Society for American Baseball Research,N/A,N/A
American University ,Analytics,To advance knowledge and foster intellectual curiosity by leveraging technology and data to equip graduates with next-generation sports management skills.,To be a leading student-centered research university where passionate learners unleash the power of collaborative discovery in the sports industry.,American University,Masters,Online,No,Yes,Washington D.C,DC,Private,"7,476","4,845",100,"58,500"," 58,500 ",M.S. in Sports Analytics and Management; Graduate Certificate in Sports Analytics and Management,2016,N/A,30,9,0,0,12,3,6,4,4,N/A,"Built for ""Front Office"" roles, focuses on how to use data for marketing, social media, and digital strategy, more sport management and marketing focus",Profoessional/Graduate,"Business, tech, social media, esports, fantasy sports, management oriented, digital strategy",Skills gap between traditional sports management graduates and industry needs; produces next-generation sports managers with analytics and technology proficiency,"Curriculum council (ESPN, NFLPA, US Soccer, JP Morgan Chase)",Professional Studies Experience (PSE) — four-phase model integrating real-world skill-building throughout all courses,N/A
Appalachain State University,Analytics,The program is designed for students who wish to learn about data analytics as applied to the abundant information about sports of all types. ,N/A,Appalachian State University,Certificate,N/A,Yes,No,Boone,NC,Public,"19,560","2,010",30,"7,500"," 21,000 ",Sports Analytics Undergraduate Certificate,2019,15,N/A,3,0,0,3,0,9,5,2,"Very technical (housed in math school!) with statistical modeling, database management, coding",Ties to sport economics,Mathematics,"Data science, math","adding practical skills to practice applying math, stats, and data skills to industry",App State Athletics,required internship w app state athletics,N/A
Arizona State University,Science,To prepare students to work directly with athletes using evidence-based approaches and performance technologies to elevate human performance.,N/A,Arizona State,Major,N/A,Yes,No,Tempe,AZ,Public,"65,450","31,171",55,"12,975"," 35,167 ",Sports Science and Performance Programming,2021,30,N/A,0,6,9,3,0,6,3,5,N/A,"Applied biomechanics primarily, focused on the human athlete; hands-on application of data to nutrition, kinesiology, strength/conditioning",Health sciences,tech/athlete focused,evidence-based approaches to evelate human performance,"athletes, tactical personnel, recreational participants",not required but they take intership hours for credit,N/A
Baylor University,Analytics,To enhance the quality of research involving statistical methods by providing meaningful educational experiences for students in applied research.,To equip individuals to understand life as a divine calling and thus serve society and the world in the name of our Lord Jesus Christ.,Baylor,Concentration,Concentration,Yes,No,Waco,TX,Private,"14,915","5,711","46 for stats, 10-15 in sports","63,620"," 63,620 ",Statistics (Sports Analytics Concentration),2021,N/A,30,0,0,0,0,3,24,3,0,Purely statistics with a concentration; required courses incliude linear algebra and calc 1-3. very mathematically rigorous,N/A,Statistics,Statistical - data,research focused,A senior-level project where you apply high-level statistical methodology to real-world research problems in sports.,N/A,"RangersU, collab with society of american baseball research"
Boston College,Analytics,To develop leaders who creatively address stakeholder needs through the application of Jesuit-informed ethics and high-level data analysis.,N/A,Boston College,Masters,Certificate,No,Yes,Boston,MA,Private,"9,654","5,072",N/A,"72,180"," 72,180 ",Master of Science in Sport Analytics,2021,N/A,30,6,0,0,9,3,12,2,1,"Extremely technical with machine learning and AI Algorithms, but students build predictive models for real world teams",N/A,Professional/Graduate,"Sports, business","AI and machine learning algorithms, data in the business of sports (ticket sales, marketing, recruitment), technology systems","Industry leaders (advisory board members), Boston sports",N/A,N/A
Canisius University,Analytics,To offer outstanding professional programs distinguished by transformative learning experiences that engage students in the global sports market.,"To transform our community of learners into thoughtful, faithful, and compassionate global citizens and leaders in the field of sports data.",Canisius University,Certificate,Institute,No,Yes,Buffalo,NY,Private,"1,724",727,N/A,"40,000"," 40,000 ","Advanced Certificate in Sport Data Analytics (12 cr., fully online); M.S. Sport Administration",2025,N/A,12,0,0,0,3,0,9,4,4,Predictive metrics and data algorithms,"Designed for sports professionals with focus on sports betting; uses data for decision making, focus on visualization",Business (with communication/health sciences),"Performance analytics + sports betting data analytics; R, Tableau, player tracking, biomechanics, predictive modeling, risk management for betting markets",Gap in sports business leadership + analytics talent; bridges on-field analytics with executive business skills,"Buffalo Bills, Sabres, Bandits, Bisons","M.S. Sport Administration: D1 game-day operations practicums (ticketing, marketing, facilities); internship built into MSA program",Institute for Research in Sports (IRIS) — research arm; sport management programs
Clemson University,Analytics,"To provide a comprehensive, data-driven wellness and business experience through cutting-edge technology and individualized strategies.","To provide support, environment, and infrastructure to promote academic, athletic, personal, professional, and social development and excellence.",Clemson University,Masters,N/A,No,Yes,Clemson,SC,Public,"23,401","5,676",N/A,"15,116"," 39,498 ",Masters of Science in Sports Business,2025,N/A,36,12,0,0,9,0,15,3,2.5,"Very balanced- technical foundation of data mining, predictive analytics, coding","Very balanced- business background with finance, econ, negotation; capstone applies tech to world",Business management,Business,Gap in sports business leadership/analytics talent; combining on-field analytics with executive business skills,Clemson Athletics/IPTAY; industry consulting via faculty; NIL ecosystem through TigerImpact,Capstone required (case study/analysis engaging a real collegiate or professional sports team),N/A
George Mason University ,Analytics,To deliver exceptional educational opportunities in statistical science that meet the analytical needs of a diverse community of sports stakeholders.,To provide a framework for students to develop connections between statistical concepts and their applications in an increasingly data-centric world.,George Mason University,Minor,N/A,Yes,No,George Mason,VA,Public,"28,400","11,432",N/A,"14,316"," 39,212 ",Sports Analytics Minor,2022,24,,6,0,0,9,3,6,3,1,"Purely statistics with a concentration; required courses include research methods, statistical theory; sports application comes after (1-2 classes)",N/A,Sport management,Data analysis,"Organizations improve identifying talent, scouting opponents and predicting industry trends",Playfly Sports,N/A,GMU Sports Analytics Team
Indiana University Indianapolis ,Analytics,The Applied Data Science master's program gives its students the tools to turn information into insight.  ,Provide students with the opportunity to land top roles in business analytics and strategy within sports organizations across the country.,IU Indianapolis,Masters,N/A,No,Yes,Indianapolis,IN ,Private,"14,504","8,333",N/A,"10,760"," 35,566 ",Applied Data Science M.S: Sports Analytics Specialization,N/A,N/A,30,3,0,0,3,0,21,3,1,"More technical: Data visualization, data science, statistics, database design, etc",N/A,"Informatics, Computing, Engineering",Data analysis and analytics,"Helping students gain core skills in data analysis, management, infrastructure, and ethical project management to prepare them for the rapidly evolving sports industry","""10 professional sports teams and major athletic bodies"" (ex. NCAA in Indianapolis)",Master's consulting project,N/A
